Fecha;"Volumen (€)";"Ingresos diarios recurrentes (€, sin IVA)";"Ingresos anuales recurrentes (€, sin IVA)";"Comisión media anual (%, sin IVA)"
2015-12-31;1.064.211,00;3,98;1.452,43;0,136
2016-01-01;1.064.211,00;3,98;1.452,43;0,136
2016-01-02;1.064.211,00;3,98;1.452,43;0,136
2016-01-03;1.064.211,00;3,98;1.452,43;0,136
2016-01-04;1.369.725,53;5,71;2.082,43;0,152
2016-01-05;1.375.798,12;5,70;2.080,66;0,151
2016-01-06;1.379.810,58;5,72;2.088,01;0,151
2016-01-07;1.373.278,83;5,69;2.076,25;0,151
2016-01-08;1.371.391,25;6,61;2.413,89;0,176
2016-01-09;1.371.391,25;6,61;2.413,89;0,176
2016-01-10;1.371.391,25;6,61;2.413,89;0,176
2016-01-11;1.374.461,29;6,57;2.397,39;0,174
2016-01-12;1.380.734,43;6,55;2.389,67;0,173
2016-01-13;1.394.858,22;6,57;2.398,44;0,172
2016-01-14;1.389.513,93;6,54;2.386,63;0,172
2016-01-15;1.390.961,12;6,55;2.389,84;0,172
2016-01-16;1.390.961,12;6,55;2.389,84;0,172
2016-01-17;1.390.961,12;6,55;2.389,84;0,172
2016-01-18;1.373.613,96;6,44;2.352,24;0,171
2016-01-19;1.373.788,61;6,44;2.351,89;0,171
2016-01-20;1.402.145,61;6,46;2.358,85;0,168
2016-01-21;1.419.400,03;6,54;2.388,01;0,168
2016-01-22;1.437.651,61;6,80;2.480,22;0,173
2016-01-23;1.437.651,61;6,80;2.480,22;0,173
2016-01-24;1.437.651,61;6,80;2.480,22;0,173
2016-01-25;1.452.437,62;6,88;2.512,35;0,173
2016-01-26;1.479.280,48;6,87;2.508,62;0,170
2016-01-27;1.505.684,57;6,92;2.525,40;0,168
2016-01-28;1.507.921,11;6,95;2.536,85;0,168
2016-01-29;1.517.873,00;7,05;2.573,79;0,170
2016-01-30;1.517.873,00;7,05;2.573,79;0,170
2016-01-31;1.517.873,00;7,05;2.573,79;0,170
2016-02-01;1.793.479,78;5,96;2.175,20;0,121
2016-02-02;1.797.087,23;6,92;2.524,48;0,140
2016-02-03;1.813.697,40;6,80;2.481,42;0,137
2016-02-04;1.806.311,83;6,76;2.467,29;0,137
2016-02-05;1.824.762,10;6,76;2.466,84;0,135
2016-02-06;1.824.762,10;6,76;2.466,84;0,135
2016-02-07;1.824.762,10;6,76;2.466,84;0,135
2016-02-08;1.817.116,39;6,72;2.453,56;0,135
2016-02-09;1.802.590,28;6,81;2.484,36;0,138
2016-02-10;1.847.962,61;6,93;2.529,43;0,137
2016-02-11;1.947.620,57;7,20;2.628,80;0,135
2016-02-12;1.933.200,22;7,24;2.641,21;0,137
2016-02-13;1.933.200,22;7,24;2.642,96;0,137
2016-02-14;1.933.200,22;7,24;2.642,96;0,137
2016-02-15;1.960.186,91;7,32;2.672,50;0,136
2016-02-16;1.996.699,00;7,49;2.735,59;0,137
2016-02-17;2.052.487,80;7,52;2.746,48;0,134
