Fecha;"Volumen (€)";"Aportaciones netas (día, €)";"Aportaciones netas acumuladas (€)"
2015-12-31;1.064.211,00;14.032,92;1.066.958,78
2016-01-01;1.064.211,00;0,00;1.066.958,78
2016-01-02;1.064.211,00;0,00;1.066.958,78
2016-01-03;1.064.211,00;0,00;1.066.958,78
2016-01-04;1.369.725,53;305.815,73;1.372.774,51
2016-01-05;1.375.798,12;13.000,00;1.385.774,51
2016-01-06;1.379.810,58;0,00;1.385.774,51
2016-01-07;1.373.278,83;0,00;1.385.774,51
2016-01-08;1.371.391,25;17.384,65;1.403.159,16
2016-01-09;1.371.391,25;0,00;1.403.159,16
2016-01-10;1.371.391,25;0,00;1.403.159,16
2016-01-11;1.374.461,29;10.000,00;1.413.159,16
2016-01-12;1.380.734,43;9.000,00;1.422.159,16
2016-01-13;1.394.858,22;11.202,08;1.433.361,24
2016-01-14;1.389.513,93;0,00;1.433.361,24
2016-01-15;1.390.961,12;0,00;1.433.361,24
2016-01-16;1.390.961,12;0,00;1.433.361,24
2016-01-17;1.390.961,12;0,00;1.433.361,24
2016-01-18;1.373.613,96;0,00;1.433.361,24
2016-01-19;1.373.788,61;0,00;1.433.361,24
2016-01-20;1.402.145,61;38.711,33;1.472.072,57
2016-01-21;1.419.400,03;23.092,00;1.495.164,57
2016-01-22;1.437.651,61;10.000,00;1.505.164,57
2016-01-23;1.437.651,61;0,00;1.505.164,57
2016-01-24;1.437.651,61;0,00;1.505.164,57
2016-01-25;1.452.437,62;6.500,00;1.511.664,57
2016-01-26;1.479.280,48;31.300,00;1.542.964,57
2016-01-27;1.505.684,57;21.586,52;1.564.551,09
2016-01-28;1.507.921,11;6.307,57;1.570.858,66
2016-01-29;1.517.873,00;10.500,00;1.581.358,66
2016-01-30;1.517.873,00;0,00;1.581.358,66
2016-01-31;1.517.873,00;0,00;1.581.358,66
2016-02-01;1.793.479,78;250.000,00;1.831.358,66
2016-02-02;1.797.087,23;260,00;1.831.618,66
2016-02-03;1.813.697,40;30.000,00;1.861.618,66
2016-02-04;1.806.311,83;0,00;1.861.618,66
2016-02-05;1.824.762,10;21.000,00;1.882.618,66
2016-02-06;1.824.762,10;0,00;1.882.618,66
2016-02-07;1.824.762,10;0,00;1.882.618,66
2016-02-08;1.817.116,39;0,00;1.882.618,66
2016-02-09;1.802.590,28;0,00;1.882.618,66
2016-02-10;1.847.962,61;60.000,00;1.942.618,66
2016-02-11;1.947.620,57;90.000,00;2.032.618,66
